dataset,seed,auc_degree_hard,mean_log_degree_product_gap
email-Eu-core,0,0.5039925,0.043273958363815514
email-Eu-core,1,0.5052265,0.04944723063585328
email-Eu-core,2,0.5061125,0.05577152374902436
ego-Facebook,0,0.507668,0.055539843962440244
ego-Facebook,1,0.5077165,0.05244351503657471
ego-Facebook,2,0.5097395,0.05698867757689001
ca-GrQc,0,0.512579,0.13594155808518418
ca-GrQc,1,0.515788,0.15158350282047206
ca-GrQc,2,0.517317,0.1595563013316007
com-DBLP,0,0.5060405,0.1158746420662645
com-DBLP,1,0.50584,0.10625426911839232
com-DBLP,2,0.5067244999999999,0.12441073737375682
ogbl-collab,0,0.5058355000000001,0.11468461092392349
ogbl-collab,1,0.5108685000000001,0.1681640272324093
ogbl-collab,2,0.5095225,0.14659128433978924
